protein	taxon	H1	H2	H3	L1	L2	L3
P0ACE0	Escherichia coli (strain K12)	23.096274409507	23.791438754961	24.6276180408913	19.8044682309004	22.2189522077839	22.2944311655463
F8VPD4;P27708	Homo sapiens	25.2009384051032	25.3035803810066	24.3336085240731	23.7083042563234	24.3825818122681	24.4699204866331
P0ABC7	Escherichia coli (strain K12)	25.8729566291321	26.2956681964098	26.5679756817576	23.7432450973319	23.2483080699053	24.061675747983
P62258;P62258-2	Homo sapiens	27.9784197344781	27.992480618912	28.8552823065458	27.5811121792359	28.7143702570227	28.4447829403329
P0ABA4	Escherichia coli (strain K12)	24.4098932808092	24.010861336597	25.2312894547772	21.6709414546795	22.559618886304	23.0241143108677
P0ABJ1	Escherichia coli (strain K12)	27.4544246866909	26.5663796194959	27.6009497269948	24.8388438323236	25.5977286482232	25.2040770555197
P0AD59	Escherichia coli (strain K12)	27.4501037083064	29.0638369350946	27.8246880451601	25.1059350367292	24.2333025264636	26.0082559211159
P39451	Escherichia coli (strain K12)	25.9518040577262	26.2130442786033	26.2943014436515	23.5028813228418	24.7039821240727	23.5978706974973
P0ABE2	Escherichia coli (strain K12)	27.9658723370922	28.4581069318636	28.7398248941233	25.6275345524002	26.8013166207892	26.632979005557
Q13123	Homo sapiens	23.3917868979914	24.3711252217069	24.2165268137127	23.0702192352128	23.6943425824488	24.6923217773872
P24182	Escherichia coli (strain K12)	25.1759990071301	25.285738595349	25.5303208395364	22.3988741380662	22.7539316244813	23.6311202018473
P19623	Homo sapiens	26.1302591549931	25.6381267488486	26.5742123859965	25.5802353313444	25.9125078354097	26.0315580193185
O76003	Homo sapiens	25.2239822371517	25.2771778414975	25.4428152029479	23.1390085559972	24.1013332624113	23.8979990366305
P0A7L0	Escherichia coli (strain K12)	29.3302908878442	29.0688671502453	30.1109800924982	27.3390063023534	27.8218328463453	28.1542185917757
P63284	Escherichia coli (strain K12)	28.9053233266328	28.8604126060367	29.3406836697483	26.6971033156872	27.4145781464887	27.2581778203294
P0A8T7	Escherichia coli (strain K12)	26.6841833734598	26.4855280231266	26.7504702452098	24.901547876952	24.8925898774271	25.3081020674149
P0A6Z3	Escherichia coli (strain K12)	23.6913635650817	23.7876578968278	23.7845661569375	21.6523285822687	22.6159160542447	23.1137841267223
Q0VDF9	Homo sapiens	20.9702154505461	21.2647632856601	20.7373562858432	21.2497407723272	19.3329587487467	21.195083793373
P0AC41	Escherichia coli (strain K12)	27.6621406001466	26.4647892679252	27.0012062978024	25.7244499440898	26.1727413902279	25.8914082615025
P0A867	Escherichia coli (strain K12)	29.9348053639259	29.3235639260137	30.0738032931054	25.8691483690038	27.5314070438708	27.7695118112152
P21151	Escherichia coli (strain K12)	24.2866553309925	24.2021722608068	23.6416310830257	21.5675086535637	22.5815978098518	22.4624134034626
P0A8D6	Escherichia coli (strain K12)	24.1478682141728	23.7823679924497	24.7006526434083	22.7579034965214	22.7086200020932	22.3373431472741
P36680	Escherichia coli (strain K12)	23.8427807708828	23.9410949027188	22.8181382255773	21.5495252374201	18.1840326726422	21.9204168279931
O75607	Homo sapiens	29.8123459128855	29.5065215431035	30.074696642268	29.3453657195134	29.8221672574361	30.1039960779697
P26641	Homo sapiens	27.3506860514467	27.0519619849166	27.9242803605139	26.6672261283166	27.1204046423547	27.1998532358452
P26641	Homo sapiens	23.3617200053854	24.1191779785507	24.3024303094095	21.8792347261202	22.2648491714414	20.5197015129255
P52272-2;P52272	Homo sapiens	26.7633191638897	26.5866341205192	27.7636357596119	27.4422140734142	27.6497931808805	27.8818620017634
Q96EN8	Homo sapiens	23.9404677413808	24.7598447136048	21.3279472963038	22.4081835579793	23.2903867747518	23.176546935371
P05386	Homo sapiens	29.467757493126	29.3866902628756	29.8946669425375	29.1205035214227	29.4036907467382	29.2844285920728
P0A6P9	Escherichia coli (strain K12)	21.4585387837333	22.5328372050497	21.2094938228182	19.1283518481219	20.1653339461325	20.366343560783
P75682	Escherichia coli (strain K12)	31.541162876781	31.5606519258286	31.733115272681	27.5715242143803	27.9692802364379	28.8362332938612
P0A9T0	Escherichia coli (strain K12)	21.8867697623372	20.0182164820794	24.6748142321447	17.548867052165	17.6557123902232	21.8525858940562
P78371;P78371-2	Homo sapiens	23.6295647353452	20.7912996358452	23.6560005650841	20.7545841693178	23.3198958931229	23.6909374885751
P00960	Escherichia coli (strain K12)	28.6672599717556	29.3574558253581	26.8355708856079	26.1269358549444	26.5298295471246	26.2208313012614
P00363	Escherichia coli (strain K12)	25.2130071851291	25.2619118397414	21.9453166598934	22.4063420456363	18.3097250239299	20.9054369540844
P54098	Homo sapiens	19.9042318177795	20.2869231898852	19.2356356366604	17.0170476145626	16.500266155263	18.3972401013478
P0ADE8	Escherichia coli (strain K12)	28.4182427239352	28.1660507294446	29.1405588335093	26.065748429484	26.861122885057	26.5666844586925
P25665	Escherichia coli (strain K12)	26.515057566629	26.410879982318	25.6175367418772	22.8301058691132	23.5982115587017	23.4887335533014
Q9NP79;H7BZH5	Homo sapiens	24.8877181758966	24.9859829572415	25.0885314086471	24.587092137124	25.2996733775167	25.3149272647093
Q2TAY7	Homo sapiens	25.829873678819	27.2448144211117	25.044060205066	24.261983553177	24.8680180623818	24.7422687235114
P0A6L0	Escherichia coli (strain K12)	24.2488002695468	25.1095262144237	24.2248654747942	22.5495722391644	23.262987167159	23.3892941764349
P54920	Homo sapiens	20.7789241355525	22.673747289463	19.7163070496602	21.6101363156393	22.3589333788806	21.4142619930933
P0ADS6	Escherichia coli (strain K12)	29.8144866826186	28.9486831882981	28.9339616825914	25.8743880023638	27.2577283686168	27.3858267306388
Q12788	Homo sapiens	23.9538475983875	23.6652482931761	24.4868325670629	22.2016788451478	23.79124000926	24.103095675363
Q92922	Homo sapiens	22.7800262632009	22.9830798870099	22.5034395051797	22.352212654167	22.9794035630058	23.1618177039176
P78549;H3BPD5	Homo sapiens	22.606232594008	22.5255676436211	23.1394458072983	15.5968594566648	23.0773275304118	22.2321023418195
P0A7V8	Escherichia coli (strain K12)	29.1918530363182	28.8611524724288	29.9346647846282	27.1714057380645	27.6525993822385	27.3394311367276
P0A8X0	Escherichia coli (strain K12)	24.8601757686331	25.0053459666165	23.7670884707111	22.3217409656277	23.2440885367991	22.6490640444683
P0ACF0	Escherichia coli (strain K12)	31.329350143827	30.8742296825636	31.8389850516407	28.9935337303077	29.8077785268379	30.138338758011
P11388;P11388-2;P11388-3;P11388-4;C9J5P2	Homo sapiens	23.9852012676063	23.5739235755055	24.5156291037509	22.3074420891743	21.807859578294	22.5031483065565
Q9H7E9;Q9H7E9-2	Homo sapiens	23.30924762833	22.6011623205125	21.2330391568141	23.1555316424697	24.0689901194361	23.0758923536213
P15038	Escherichia coli (strain K12)	21.2969251663547	22.4503806388889	20.9643747144074	18.9372128782526	19.4561538485871	19.1971734899525
P0A910	Escherichia coli (strain K12)	29.5517517312135	28.3005551217576	29.4797354341518	26.8124989304011	28.9046918999944	28.2135449471829
P0A910	Escherichia coli (strain K12)	29.1561732508627	29.4674271279407	29.612016005762	27.8000824932196	28.934917817502	28.6824764973352
Q92616	Homo sapiens	23.8074469052745	23.9368787226982	24.4468899461578	23.7180603843081	23.9129646012963	24.0910362985909
P09831	Escherichia coli (strain K12)	21.0499947467657	22.2971491351575	20.1178155554695	19.4950781765131	18.8443257222934	18.2050963944064
P00490	Escherichia coli (strain K12)	25.0969177876506	25.8210177746891	24.9542027014699	24.1836662723616	18.3272456176976	22.2902180121718
P0AG84	Escherichia coli (strain K12)	26.0047247016565	26.678015708687	27.4449803561491	23.9398403072877	24.9606680266329	23.5391947901697
P28304	Escherichia coli (strain K12)	29.3019290444442	29.0265435354938	29.7866862088119	26.4355373774198	26.6116115619467	26.5673084523327
O14744;O14744-2;G3V5W5;B4DX49;B4DV00;H0YJX6	Homo sapiens	26.7154180610023	26.7820679830823	26.3763184483007	24.7901464182316	26.0135046510436	25.7589049215573
P35251-2;P35251	Homo sapiens	23.4807448479923	23.8064638750914	23.2758289643096	22.6932155350374	21.9326501850496	23.4110578403027
Q14980-2;Q14980	Homo sapiens	20.8227544173487	20.703792074887	19.3587027051754	20.972741448053	20.2927754595629	20.1084019401087
P00582	Escherichia coli (strain K12)	26.4679323617196	26.3864353690319	26.6147035544503	23.892636195592	24.4655678993792	24.4234857840086
P0A877	Escherichia coli (strain K12)	24.0777349908153	25.0126098771447	24.2032930328347	21.4543274107319	22.5707544173825	22.7275848092261
P42858	Homo sapiens	20.429819436852	20.7186666509352	18.3872179966406	18.2782134909127	19.9310346733822	19.6434158469941
P62851	Homo sapiens	27.8703248308165	27.6022248184426	28.2005081770209	27.4218980165988	27.8817453354977	27.7796280914925
O60287	Homo sapiens	22.0130104635938	23.6096404744368	21.8432601511965	22.4436690090138	23.1695757961834	21.6302315692101
P0AC41	Escherichia coli (strain K12)	27.8652002171376	28.2088094676562	27.2610510003498	24.9168412835776	26.1484695998173	26.1910670483275
P33599	Escherichia coli (strain K12)	26.993668689011	27.5266395235196	27.4891471458473	24.9195260454246	24.4817920424062	25.5735191436619
Q9UIA9;E7ESC6;E9PEN8	Homo sapiens	23.6461438081758	23.3995001153505	22.3396825797376	21.3006162127801	22.7575780108158	22.4543023061938
P11446	Escherichia coli (strain K12)	22.3626030996758	21.9938975501126	21.2956366705525	19.0554466191591	19.936321624724	20.5106521482863
P08312	Escherichia coli (strain K12)	25.4133518588572	25.5656971268492	26.1177521556303	23.1619406866484	23.5610417661111	23.7865615860812
P09546	Escherichia coli (strain K12)	24.2387784877972	24.563894956838	23.4900811223247	21.713641584758	22.0813481999001	21.8474718435321
Q9H6S0;E9PE26	Homo sapiens	22.4683674982154	22.4919411487598	21.9667701650427	22.2766242445035	22.3012025550116	21.7473079314908
Q9H6S0;E9PE26	Homo sapiens	22.3087200890245	22.1957746889344	21.2262922329173	20.6822608187166	20.9890535004321	20.8580994092186
P0AFH8	Escherichia coli (strain K12)	28.1212448984963	27.061675747983	28.7246190782701	24.3381052395293	26.7815678287903	26.7667347265446
Q9BUF5;B4DP54	Homo sapiens	24.0389216677725	23.7743463146196	22.7662191154327	22.8673111707802	23.0680881018747	23.0359555548323
F8VPD4;P27708	Homo sapiens	26.2690299151759	25.7970172934807	26.7818179276105	25.9397954801235	26.5138535899754	26.3869286711923
P54886-2;P54886	Homo sapiens	24.0421823748251	21.0567567706409	24.014441438388	21.2198680639815	21.5033424455026	22.8597872711041
P45578	Escherichia coli (strain K12)	26.9289738948209	26.6397558053449	27.6233818664956	24.4601398881949	24.7769080703224	24.2840446283745
P66817	Escherichia coli (strain K12)	24.0304428560686	23.8723930763746	23.0953249027221	18.6226738818909	20.373795514546	20.0111344191345
P68739	Escherichia coli (strain K12)	23.698269729734	22.8204384289402	22.5818506178917	20.2044278610113	19.2948405895037	20.0446022346241
P09372	Escherichia coli (strain K12)	22.348705465004	22.6602510011402	22.6743293560131	21.5912648351332	17.690298137782	19.1387867564671
P00370	Escherichia coli (strain K12)	25.000368339813	25.5199534083475	25.285738595349	22.658552329127	23.0209819728997	22.79124000926
P42765	Homo sapiens	23.7784629960276	23.2762550617897	23.0628452492533	22.4320647182121	23.9032500636165	22.8260371339276
P68066	Escherichia coli (strain K12)	30.2948272710322	29.73682877548	30.8728363056208	27.6579229862161	27.906671358399	28.5942369448417
P25787	Homo sapiens	23.9391229054624	23.3364716914693	22.8713593242248	23.5455716141891	22.5745704307285	22.9854618778808
P76402	Escherichia coli (strain K12)	28.3316795018228	29.3496530779165	29.0878286525502	25.7947636817974	27.8907011461138	28.0820774744881
P02413	Escherichia coli (strain K12)	28.4899127450167	28.5432942502101	28.8591984031615	25.4438902836839	26.4240627210036	26.4486710027259
P09980	Escherichia coli (strain K12)	22.4055632348419	23.1580308581661	18.775166571464	20.6778813357496	20.1768208214736	19.6986639764673
P17115	Escherichia coli (strain K12)	25.736035212057	26.0927508512549	21.5507937473481	23.2218160169114	23.2324098012996	22.6081970575671
Q8NEZ5;H3BTR7	Homo sapiens	21.5379160360487	22.1748415858893	20.1818025501509	21.2193954366093	21.6626214409964	21.5523895452657
Q8IY81	Homo sapiens	22.2691084115216	22.2749479638534	23.0146287228847	22.3599253917894	22.926998816521	22.1295911769414
Q9UPQ0-4;D6RD46;E9PHM7;Q9UPQ0-2;Q9UPQ0	Homo sapiens	21.4813362982582	21.6488666208477	21.7054805238373	22.0292467800316	21.0601259342979	22.8134485001949
Q9H9F9	Homo sapiens	19.3175406882504	20.185557835555	20.0786147127415	19.7056323873614	20.2470188693091	20.5625331165899
P69797	Escherichia coli (strain K12)	22.2745783518786	19.3973654604339	20.7159050307671	20.5948676411665	17.2608644174267	20.061840523843
O95336	Homo sapiens	26.8296559664741	26.8965447184643	26.878650236771	22.5776159906466	21.8462478915695	24.5046400786005
P21513	Escherichia coli (strain K12)	26.2370649215068	27.2941261252601	26.3545920095279	23.8129395301896	24.027661715718	24.3871916967246
P0AEE5	Escherichia coli (strain K12)	27.4637296543074	27.3066080006711	27.9083331525647	25.1739805324224	25.6164714429373	25.5193535850223
Q15233;F5GYZ3	Homo sapiens	28.5815432204823	28.1968085366629	29.1939453470877	27.3067818088806	28.0879045060185	28.6549564764187
Q15120;Q15120-2	Homo sapiens	22.9619752797502	23.8339316236132	22.1472161065011	20.2776461038598	22.1898462709373	21.8729754104333
P49327	Homo sapiens	23.0739329906787	23.972723921645	19.3147558178334	22.2435947267675	21.5003303521221	21.3070251052008
O75691	Homo sapiens	19.6137283247166	22.4383735935877	22.7524419009862	21.1218041389239	21.2555150247458	21.3232263235771
Q92979	Homo sapiens	23.9590765261506	23.7666841845824	23.7739440575305	21.9373996841865	23.2582497196114	23.7775603399887
P0ABB4	Escherichia coli (strain K12)	28.3339837861486	28.6545126805412	29.415908135167	26.5870635153458	27.1137642591315	27.5506146966607
Q96T58	Homo sapiens	24.12675865959	24.6341707086159	21.9949679652082	24.2563071801779	23.667632197196	23.7719310879826
P11586;G3V2B8;F5H2F4	Homo sapiens	24.7794652852446	24.4691752608195	25.4989314782138	24.0047889828533	24.8275497182533	25.1101637112071
O94906-2;O94906	Homo sapiens	21.9755779187001	22.0267503586669	20.5518734508375	22.6658337981347	22.4238063330447	22.3073864982742
P00956	Escherichia coli (strain K12)	21.4799558702697	21.580356109257	19.2073861598563	20.6641416906194	19.7241740827319	19.4453018492076
P0ABS1	Escherichia coli (strain K12)	24.6886985200986	25.1956170136524	25.1895974673666	22.3860866670956	22.7448880242464	23.3942753199943
P0A8R7	Escherichia coli (strain K12)	22.9263473970582	23.656982546999	22.0986052914417	20.1932798982009	20.1692546484443	20.366983810072
Q6PI98;Q6PI98-3;E9PCS7	Homo sapiens	19.6477605490359	19.7117274609636	18.7365803015839	20.0580128690489	20.6302315692101	20.7821279899469
C9JP00;Q9NR56;Q86VM6	Homo sapiens	24.9667965632906	25.408047470263	24.5057306426847	23.6787411063596	23.8609808572254	23.8701366613835
P0AE08	Escherichia coli (strain K12)	31.6086274850361	31.9597163766932	30.4779807644435	30.5818125558776	30.8061657617258	30.6024018253799
P13029	Escherichia coli (strain K12)	29.5712710370156	29.5802856567035	29.2707282288841	26.6409970706925	27.5956958120826	27.2223247077208
P62258;P62258-2	Homo sapiens	23.7797658362768	24.6187412638006	21.7146899179008	22.7547472594198	23.8417255731596	23.3098027245434
P37330	Escherichia coli (strain K12)	26.7350539449201	26.4627940543778	26.9522707731152	24.1575375289459	24.6285639062791	24.4470161110062
P00350	Escherichia coli (strain K12)	25.9233851599147	26.208400187187	26.4787561674049	23.3379691811484	24.4685539451161	24.5652322661908
Q8TEQ6	Homo sapiens	20.3412581972774	19.8535989183357	20.8036487058335	21.4468268595958	20.0937786056385	19.8910271577755
Q5VW36	Homo sapiens	20.3276184269492	20.3150655134795	19.0121989473988	20.0975126570948	20.464832882396	20.005662922898
Q92616	Homo sapiens	24.3671971633763	23.9575718285882	24.7143964613991	23.6844241816164	24.3906722654596	24.3008954530869
P02918	Escherichia coli (strain K12)	23.6595979024234	22.0919402226543	22.772011660714	19.3019783940809	20.41709844246	20.3310131339136
Q9NRF9	Homo sapiens	20.8221319959225	21.4098673910293	21.402703992883	17.8951610634206	19.5396775802378	19.5057185298339
Q99575	Homo sapiens	20.0355025603804	21.9764172845811	16.8076316401719	19.5827557669867	18.5299718902616	18.4633567345268
O60885	Homo sapiens	25.0392145965283	26.2763970663216	24.939391972954	23.8234737575361	24.4195050475028	24.6056902019566
P69228	Escherichia coli (strain K12)	25.2654216126912	25.4172207999854	23.7577611055608	22.8813836101065	23.3758380717377	22.9267636156435
P00363	Escherichia coli (strain K12)	24.4723398154134	25.9339110460184	24.9112738446765	22.6233930306624	21.1435152516954	22.063322660309
P60240	Escherichia coli (strain K12)	25.2833735499156	25.6489159792857	25.3182415842469	22.6933006259436	23.2375682648375	22.9831146889021
P0A794	Escherichia coli (strain K12)	24.0775720204631	24.2434349285038	24.3036152173532	19.6232992489758	21.4464230402612	21.7672097344609
P00579	Escherichia coli (strain K12)	27.7673663517204	27.637339172344	27.0057100320767	26.4175266484055	25.977513844618	25.5857176508551
P20605	Escherichia coli (strain K12)	26.5109750261062	26.1094066524098	26.3721387878545	23.981547772032	24.6259473523997	24.3073031079073
P27248	Escherichia coli (strain K12)	27.4227803253273	27.5689904391634	27.5238760967687	24.6025221776936	25.1515501920437	25.2504999618466
P0A7Z4	Escherichia coli (strain K12)	24.7910909320147	25.3327552925324	23.8027222396639	19.4031618525672	20.5503710346217	22.4675468454771
P25437	Escherichia coli (strain K12)	22.7470825183949	23.1593096451633	21.400151886331	23.1598485531066	18.0104516158462	22.874927332002
P05055	Escherichia coli (strain K12)	29.1037710299955	28.9579813502622	29.1031957478523	26.0449148513756	26.704246039749	26.4399338331594
P10809	Homo sapiens	27.2555690491627	27.23004360406	28.038524026447	27.1179304605772	27.6850527690375	28.1405344556307
P0A6F5	Escherichia coli (strain K12)	28.0054958870502	27.8937126739275	28.7020672902171	26.357229278735	26.8869278745672	27.3383263070349
O94906-2;O94906	Homo sapiens	23.755725413053	22.4996006740955	23.4337718538234	24.9122793982244	24.0208972206576	24.4684296498596
Q14974	Homo sapiens	27.4009661862007	26.7727869432481	27.6515049285966	26.0913793721736	27.6068905355971	27.1676784592138
P37636	Escherichia coli (strain K12)	26.4924974669449	26.0893803262741	26.2597587773964	22.9818438756169	24.5811265493525	24.0877224509939
A1L0T0	Homo sapiens	23.7348989469748	23.3145124388932	23.675944976445	22.8890931976775	23.8845543697145	23.6005953348338
Q9BTC0	Homo sapiens	23.0240128281632	23.5619740408065	21.7448469738675	22.2054126460064	23.2412831925984	21.8926732490532
Q6P9B9	Homo sapiens	24.4607648373236	24.9026062291545	22.7192726628966	24.384427534038	24.7131381141401	23.9205258656221
P0A9L8	Escherichia coli (strain K12)	27.2675841052757	27.4474260705821	27.6219856648566	24.6012756909138	25.5637786104637	25.169820432201
Q9NR30;Q9NR30-2	Homo sapiens	28.3948068273907	28.5079395368101	28.7582441607111	27.1824354250002	27.9301589990695	27.8086379316192
P63224	Escherichia coli (strain K12)	28.1716920533582	28.3381987722235	28.647427628794	25.6149000935202	26.4148523050736	26.0443520924404
P00350	Escherichia coli (strain K12)	29.5220994821532	29.5381588496947	29.5880291866828	27.038524026447	27.2084373993006	27.3662801873277
P25746	Escherichia coli (strain K12)	22.1675406520978	22.466352334827	20.9366091860247	18.2251038562786	19.0868515056353	18.7460287574384
Q96GX9	Homo sapiens	22.8924138548373	22.9420977941206	21.874927332002	20.5330749322473	21.5103141052953	21.5408507492407
P54098	Homo sapiens	20.6049440797721	21.355039172826	19.0748052358126	19.4003082675615	18.6846938390413	20.2074099924648
Q9UMY1	Homo sapiens	23.9943810617292	23.6712006835448	23.5487494874792	21.6444724439587	23.0362910145994	22.8136637796165
P0A7W7	Escherichia coli (strain K12)	23.5982115587017	24.3117438810662	24.1120347305481	22.6722371334646	18.6480766560929	20.1522699858307
Q8NFQ8	Homo sapiens	23.0659045257446	22.7519926414013	21.9330465743928	20.3528322701784	21.4089350493914	22.7356221282915
Q14146	Homo sapiens	20.9493479818854	21.8211589245383	21.9301251524545	19.6498315462751	21.3370164130317	21.6644455484017
P0ABF1	Escherichia coli (strain K12)	23.8585168172739	24.0119704129966	24.2225089717279	21.394510842816	22.4558579620636	22.1287105451174
P05141	Homo sapiens	24.2226563659904	24.3666637209443	24.6950863766311	24.0828591561782	24.4493481727872	24.0770014792118
P78527	Homo sapiens	23.0157349079809	23.2158902119409	24.2672090290322	22.2609505356205	23.4777839541035	23.2375974387764
Q9C0B1	Homo sapiens	21.2169115994834	21.1007880807238	21.0253991409593	20.2245858413737	21.5811380453427	20.9124712878906
Q8NBJ5	Homo sapiens	22.1374927669768	22.7213604091488	22.0770503915897	20.6806308000627	21.4838472603146	21.6579638609746
P00558;B7Z7A9	Homo sapiens	27.7200585319841	27.947986886731	28.0892691869094	27.6573097258281	28.3500115402821	28.3659882999534
P17993	Escherichia coli (strain K12)	24.9556665784915	25.5283248541323	24.3157565586817	15.7203778745659	19.5580544322297	18.5237457115553
P76503	Escherichia coli (strain K12)	19.1577564646075	20.2955806228828	21.9408440708991	18.5198358626237	20.194242256306	18.3701169309768
P0AAI9	Escherichia coli (strain K12)	24.79327585591	24.8521953470173	24.7215064383044	23.4630124153042	24.4417076647246	24.4534359320076
Q96I25	Homo sapiens	24.6129616100424	24.2477867342496	24.0946647077602	22.7229242385569	24.3129903896032	24.4461327252817
Q99536;E9PF80	Homo sapiens	24.303684887523	24.861643534181	25.1014935707665	23.8947652252646	24.8616908566037	24.6251670351742
P36952	Homo sapiens	23.5688310245459	24.5472791199975	24.6392590000228	25.8611702245606	24.8344621769331	24.5415007849062
P63272	Homo sapiens	23.462887641679	23.6707686095551	23.1632774473483	22.0791357764188	23.466003749506	22.8939880307494
Q8WUA2	Homo sapiens	23.2361964238172	24.5618575394101	22.9299265696507	21.4767462039395	22.7340720099079	23.2362110247375
Q8WVB6;Q8WVB6-2;E7EXA6;Q8WVB6-3	Homo sapiens	21.0281677765384	21.0392564386385	19.3665143217107	19.0407552592897	20.967755372172	20.4953124468081
Q96GQ7	Homo sapiens	22.0474674359796	22.0923274453744	21.5600622288725	21.742875180794	22.5870119947141	22.4012461991414
P06703	Homo sapiens	27.2882406135363	27.8766026572447	27.4551305253812	22.8062671886506	22.1154361526703	23.5523895452657
Q14146	Homo sapiens	23.390475476175	24.0515056918249	22.4035883638003	22.0102125583284	22.8989954367392	23.0292130733849
P15927;P15927-2;P15927-3;Q5TEJ0	Homo sapiens	24.4745075590299	23.4673727075945	23.6377675567539	23.5150876531757	24.5915501952308	23.8628734129748
Q8IXH7-4;Q8IXH7	Homo sapiens	20.3516466853035	21.5970068218383	20.4029121289349	16.7037413908757	21.1302512982254	21.4761034128901
P49368;B4DUR8;P49368-2	Homo sapiens	25.3751089189527	25.9883905041546	24.9185255318486	26.1287066125199	23.6498753911912	25.8734730258462
Q6KC79-2;Q6KC79	Homo sapiens	22.613242711117	23.5552013604307	21.9711983085195	24.2376849570536	24.3955179232932	22.7565603944313
